Participant: Elena Samarina
Time: 1581.14
Condition: 3d

mask_png,x,y,z
Stimuli_00.png,0.100803,0.000000,0.028623
Stimuli_01.png,0.036928,0.022000,0.253424
Stimuli_02.png,0.942422,-0.036000,1.000000
Stimuli_03.png,0.614378,0.000000,-0.554491
Stimuli_04.png,0.440744,-0.147000,-0.924050
Stimuli_05.png,-0.229469,-0.113000,0.251830
Stimuli_06.png,-1.000000,0.000000,-0.293417
Stimuli_07.png,0.977753,-0.059000,0.609179
Stimuli_08.png,0.728411,-0.523000,-1.000000
Stimuli_09.png,-1.000000,0.000000,0.018559
Stimuli_10.png,0.735151,0.000000,-1.000000
Stimuli_11.png,1.000000,-0.028000,0.810668
